c file generated by rmnkGenerator.R with seed  0 the 11/29/2019 13:49:28 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 2 10 1 
p links
0  0  
9  9  
1  1  
3  3  
2  2  
4  4  
3  3  
6  6  
4  4  
9  9  
5  5  
1  1  
6  6  
9  9  
7  7  
9  9  
8  8  
5  5  
9  9  
5  5  
p tables
0.8566956  0.06178627  
0.9410656  0.1765568  
0.1237308  0.3841037  
0.2026912  0.4976992  
0.5899159  0.9919061  
0.3950667  0.7774452  
0.6468027  0.2121425  
0.007315936  0.1255551  
0.7867919  0.3861141  
0.521882  0.382388  
0.401239  0.340349  
0.2682075  0.5995658  
0.5685263  0.1862176  
0.9869224  0.6684667  
0.8968158  0.1079436  
0.359899  0.4112744  
0.5044064  0.6470602  
0.8265577  0.5530363  
0.5461045  0.7893562  
0.7924549  0.4772301  
0.404288  0.6927316  
0.9229356  0.8612095  
0.3572045  0.2447973  
0.4019076  0.09946616  
0.4739723  0.5186343  
0.4923582  0.4068302  
0.3984588  0.2936034  
0.7418341  0.3323947  
0.5474292  0.2580168  
0.2533017  0.7663107  
0.1354551  0.8753213  
0.4428405  0.8394403  
0.5468686  0.3337749  
0.8191336  0.8921983  
0.9247243  0.3899895  
0.7873005  0.960618  
0.1049059  0.7125147  
0.2200151  0.3253522  
0.5868758  0.2026923  
0.6645125  0.1216919  
