c file generated by rmnkGenerator.R with seed  4 the 12/17/2019 19:08:27 
c version 1.1
c the links are random and identical for every objective functions
p rMNK 0 2 50 2 
p links
0  0  
29  29  
1  1  
1  1  
15  15  
14  14  
2  2  
40  40  
13  13  
3  3  
36  36  
44  44  
4  4  
47  47  
3  3  
5  5  
37  37  
14  14  
6  6  
4  4  
46  46  
7  7  
21  21  
22  22  
8  8  
48  48  
29  29  
9  9  
48  48  
37  37  
10  10  
36  36  
48  48  
11  11  
25  25  
24  24  
12  12  
32  32  
40  40  
13  13  
24  24  
41  41  
14  14  
26  26  
49  49  
15  15  
28  28  
11  11  
16  16  
44  44  
32  32  
17  17  
24  24  
47  47  
18  18  
23  23  
30  30  
19  19  
20  20  
0  0  
20  20  
46  46  
11  11  
21  21  
28  28  
8  8  
22  22  
45  45  
4  4  
23  23  
45  45  
43  43  
24  24  
36  36  
28  28  
25  25  
19  19  
36  36  
26  26  
44  44  
39  39  
27  27  
41  41  
20  20  
28  28  
8  8  
49  49  
29  29  
44  44  
36  36  
30  30  
27  27  
3  3  
31  31  
42  42  
44  44  
32  32  
11  11  
30  30  
33  33  
3  3  
24  24  
34  34  
40  40  
47  47  
35  35  
16  16  
30  30  
36  36  
20  20  
16  16  
37  37  
41  41  
33  33  
38  38  
15  15  
21  21  
39  39  
12  12  
6  6  
40  40  
45  45  
34  34  
41  41  
28  28  
45  45  
42  42  
45  45  
2  2  
43  43  
2  2  
48  48  
44  44  
10  10  
45  45  
45  45  
9  9  
6  6  
46  46  
26  26  
13  13  
47  47  
17  17  
4  4  
48  48  
37  37  
21  21  
49  49  
1  1  
33  33  
p tables
0.8716765  0.2534274  
0.5252604  0.2664036  
0.7680915  0.4682648  
0.1414027  0.6684455  
0.06958828  0.9756324  
0.9943456  0.2753343  
0.7938179  0.2903004  
0.3749144  0.7567751  
0.8340018  0.438149  
0.65029  0.9113152  
0.5144746  0.1426423  
0.2155358  0.8564377  
0.3338912  0.09463836  
0.2557541  0.9804767  
0.7729199  0.5522638  
0.4952635  0.40839  
0.7280033  0.3455527  
0.07986411  0.8131145  
0.735685  0.7006146  
0.809126  0.4320045  
0.8835811  0.5630383  
0.3565591  0.3136023  
0.7580487  0.168803  
0.6647431  0.5716268  
0.1553573  0.7647711  
0.3370499  0.3558625  
0.09253215  0.5938804  
0.1481589  0.2527304  
0.7430935  0.2127814  
0.9515203  0.4793851  
0.9344747  0.9009404  
0.377185  0.4152152  
0.9711307  0.2827317  
0.7274797  0.07068247  
0.6372175  0.1508632  
0.8438366  0.09568707  
0.6730766  0.2009445  
0.1926877  0.1291004  
0.4684709  0.6438423  
0.7474762  0.4200354  
0.5427651  0.1006847  
0.3173242  0.2124316  
0.7986634  0.563198  
0.334283  0.7306558  
0.7408346  0.7542572  
0.2820888  0.4812363  
0.53617  0.9901054  
0.5686081  0.2817786  
0.6769928  0.8335974  
0.719597  0.3906844  
0.9499821  0.7532655  
0.7938851  0.4541776  
0.9533498  0.3607424  
0.3357228  0.4578818  
0.6363752  0.5178996  
0.5208678  0.04215813  
0.6082129  0.9401206  
0.3031701  0.7812473  
0.9041421  0.1359915  
0.04465015  0.04199234  
0.6923482  0.6655427  
0.6197801  0.7717325  
0.7436944  0.8065412  
0.3922292  0.6199421  
0.9576566  0.4546099  
0.6877903  0.6640903  
0.5541275  0.2125195  
0.6579604  0.2728563  
0.06028596  0.9568284  
0.193412  0.2370116  
0.3636923  0.4470035  
0.8958853  0.1587121  
0.3170972  0.9695183  
0.1913518  0.3679121  
0.7066333  0.8347905  
0.422916  0.8383815  
0.3449881  0.1732867  
0.4480796  0.636525  
0.7239435  0.2761161  
0.2414207  0.008603773  
0.5611699  0.8594874  
0.2789406  0.7480114  
0.1214461  0.1673662  
0.9893471  0.02412061  
0.2060546  0.2793499  
0.2351091  0.8337965  
0.4611055  0.709626  
0.05074438  0.4672615  
0.7051989  0.04679923  
0.6746143  0.88736  
0.8929247  0.8414657  
0.4823531  0.7640309  
0.4972252  0.199233  
0.8397882  0.7330243  
0.2372351  0.2349586  
0.2741602  0.3265432  
0.5218923  0.1159447  
0.2426667  0.6519064  
0.20768  0.3027957  
0.989845  0.8185542  
0.8124026  0.8097525  
0.2620337  0.2071941  
0.06692514  0.9381336  
0.9333453  0.9153607  
0.003564939  0.3144596  
0.5094017  0.7089603  
0.5949924  0.1956214  
0.8143284  0.2397952  
0.323696  0.01799336  
0.655205  0.8642112  
0.1214813  0.6338374  
0.8087752  0.6882265  
0.2863724  0.1756685  
0.1735538  0.07666148  
0.8333842  0.8354096  
0.3055164  0.06101109  
0.8944278  0.5070623  
0.4403993  0.2192533  
0.3800858  0.4093014  
0.6168639  0.3918955  
0.806567  0.9637578  
0.8231773  0.3162849  
0.01342788  0.276001  
0.3653595  0.01197476  
0.3935526  0.9537744  
0.8634432  0.5288147  
0.8050692  0.3299598  
0.808355  0.7345305  
0.8158984  0.2119145  
0.09218889  0.1296629  
0.2992109  0.1526778  
0.3145269  0.5283297  
0.4359243  0.6486622  
0.598198  0.05233872  
0.7864601  0.971319  
0.0337937  0.2369404  
0.2065992  0.6481979  
0.2340973  0.6703366  
0.5745497  0.6015364  
0.2482505  0.4287928  
0.3032345  0.2450569  
0.5294796  0.4998313  
0.1316239  0.7141606  
0.2503086  0.11338  
0.8929473  0.364607  
0.7091716  0.2577825  
0.2257957  0.1868426  
0.9651113  0.9301662  
0.6120619  0.1159507  
0.6407402  0.9599835  
0.9843487  0.8877655  
0.7165904  0.0608352  
0.2293394  0.3812323  
0.5920418  0.8506459  
0.910993  0.2212906  
0.7886818  0.9363296  
0.05426109  0.007715821  
0.1359237  0.7110068  
0.8451693  0.8655358  
0.4808486  0.5660934  
0.2202164  0.4108098  
0.2364556  0.4096629  
0.286359  0.400061  
0.595246  0.9806928  
0.9805413  0.9433109  
0.09257362  0.1485689  
0.2284544  0.496654  
0.61133  0.09108753  
0.6520813  0.5582509  
0.6586502  0.2154  
0.6909931  0.3862916  
0.1889168  0.7475626  
0.2815542  0.4456611  
0.4884961  0.5886561  
0.1438347  0.868047  
0.6017329  0.07514691  
0.753942  0.7370789  
0.9875  0.3088211  
0.4879238  0.8699749  
0.3307515  0.4600989  
0.6924856  0.1335336  
0.3248602  0.7447066  
0.3520288  0.4827328  
0.8762132  0.7351255  
0.1494375  0.1744232  
0.1225197  0.3604024  
0.6439607  0.4820246  
0.3655709  0.3638999  
0.4322079  0.3598073  
0.2185174  0.6538056  
0.8772732  0.1625715  
0.4227921  0.4909446  
0.3975504  0.1881996  
0.6922017  0.6861762  
0.4826784  0.202837  
0.9901752  0.8796323  
0.7898369  0.5243266  
0.2047982  0.5622805  
0.9446513  0.6804315  
0.0673098  0.7071785  
0.3825236  0.6538007  
0.4776572  0.1784304  
0.5313549  0.2493386  
0.7388207  0.02595404  
0.6314878  0.5477518  
0.4761474  0.8972573  
0.08653112  0.1361051  
0.6889878  0.669273  
0.8732654  0.7311824  
0.307686  0.5071286  
